time,content
2023-07-10T17:46:51.955Z,1回目
2023-07-10T17:46:59.625Z,初期位置
2023-07-10T17:47:49.426Z,椅子に座る
2023-07-10T17:48:49.407Z,椅子でパソコン
2023-07-10T17:50:20.347Z,椅子から立つ
2023-07-10T17:51:58.748Z,椅子に座る
2023-07-10T17:53:10.176Z,椅子から立つ
2023-07-10T17:53:20.155Z,椅子に座る
2023-07-10T18:17:00.190Z,椅子から立つ
2023-07-10T18:17:10.199Z,初期位置
2023-07-10T18:21:06.377Z,1回目
2023-07-10T18:29:02.892Z,2回目
2023-07-10T18:29:06.255Z,初期位置
2023-07-10T18:32:32.478Z,椅子に座る
2023-07-10T18:44:25.465Z,椅子から立つ
2023-07-10T18:45:13.136Z,椅子に座る
2023-07-10T19:02:48.058Z,椅子から立つ
2023-07-10T19:02:55.416Z,初期位置
2023-07-10T19:05:05.292Z,2回目
2023-07-10T19:13:51.542Z,3回目
2023-07-10T19:14:01.505Z,初期位置
2023-07-10T19:18:50.355Z,テントに入る
2023-07-10T19:18:56.202Z,テントで正座
2023-07-10T19:25:51.002Z,テントで下向きでねる
2023-07-10T19:44:46.279Z,テントで上向でねる
2023-07-10T19:49:47.122Z,テントで正座
2023-07-10T19:50:37.115Z,テントから出る
2023-07-10T19:50:57.101Z,初期位置
2023-07-10T19:54:47.647Z,3回目
2023-07-10T20:27:18.839Z,4回目
2023-07-10T20:27:27.741Z,初期位置
2023-07-10T20:30:09.269Z,椅子に座る
2023-07-10T20:58:29.434Z,椅子から立つ
2023-07-10T20:58:34.238Z,初期位置
2023-07-10T21:01:00.280Z,テントに入る
2023-07-10T21:01:02.075Z,テントで正座
2023-07-10T21:38:15.500Z,テントから出る
2023-07-10T21:38:23.007Z,初期位置
2023-07-10T21:39:03.006Z,4回目